|Timestamp|Key|Action
1005|2021-11-24 20:09:48,295|'o'|press
1006|2021-11-24 20:09:48,382|'u'|press
1007|2021-11-24 20:09:48,401|'o'|release
1008|2021-11-24 20:09:48,495|'u'|release
1009|2021-11-24 20:09:48,521|'l'|press
1010|2021-11-24 20:09:48,621|'l'|release
1011|2021-11-24 20:09:48,872|'s'|press
1012|2021-11-24 20:09:48,978|'s'|release
1013|2021-11-24 20:09:49,725|Key.backspace|press
1014|2021-11-24 20:09:49,822|Key.backspace|release
1015|2021-11-24 20:09:49,837|Key.backspace|press
1016|2021-11-24 20:09:49,937|Key.backspace|release
1017|2021-11-24 20:09:51,453|'s'|press
1018|2021-11-24 20:09:51,545|'l'|press
1019|2021-11-24 20:09:51,557|'s'|release
1020|2021-11-24 20:09:51,637|'l'|release
1021|2021-11-24 20:09:51,748|'y'|press
1022|2021-11-24 20:09:51,829|'y'|release
1023|2021-11-24 20:09:52,215|Key.space|press
1024|2021-11-24 20:09:52,321|Key.space|release
1025|2021-11-24 20:09:52,520|'h'|press
1026|2021-11-24 20:09:52,613|'h'|release
1027|2021-11-24 20:09:52,703|'a'|press
1028|2021-11-24 20:09:52,804|'d'|press
1029|2021-11-24 20:09:52,856|'a'|release
1030|2021-11-24 20:09:52,931|'d'|release
1031|2021-11-24 20:09:53,222|Key.space|press
1032|2021-11-24 20:09:53,308|Key.space|release
1033|2021-11-24 20:09:53,318|'a'|press
1034|2021-11-24 20:09:53,420|Key.space|press
1035|2021-11-24 20:09:53,436|'a'|release
1036|2021-11-24 20:09:53,524|Key.space|release
1037|2021-11-24 20:09:53,865|'p'|press
1038|2021-11-24 20:09:53,953|'p'|release
1039|2021-11-24 20:09:54,037|'r'|press
1040|2021-11-24 20:09:54,120|'a'|press
1041|2021-11-24 20:09:54,174|'r'|release
1042|2021-11-24 20:09:54,247|'a'|release
1043|2021-11-24 20:09:54,672|'t'|press
1044|2021-11-24 20:09:54,779|'t'|release
1045|2021-11-24 20:09:55,377|'c'|press
1046|2021-11-24 20:09:55,458|'i'|press
1047|2021-11-24 20:09:55,496|'c'|release
1048|2021-11-24 20:09:55,538|'i'|release
1049|2021-11-24 20:09:55,568|'a'|press
1050|2021-11-24 20:09:55,674|'a'|release
1051|2021-11-24 20:09:55,853|Key.backspace|press
1052|2021-11-24 20:09:55,926|Key.backspace|release
1053|2021-11-24 20:09:55,959|Key.backspace|press
1054|2021-11-24 20:09:56,051|Key.backspace|release
1055|2021-11-24 20:09:56,089|Key.backspace|press
1056|2021-11-24 20:09:56,182|Key.backspace|release
1057|2021-11-24 20:09:56,413|Key.backspace|press
1058|2021-11-24 20:09:56,503|Key.backspace|release
1059|2021-11-24 20:09:56,852|'c'|press
1060|2021-11-24 20:09:56,961|'c'|release
1061|2021-11-24 20:09:57,056|'t'|press
1062|2021-11-24 20:09:57,151|'i'|press
1063|2021-11-24 20:09:57,161|'t'|release
1064|2021-11-24 20:09:57,238|'i'|release
1065|2021-11-24 20:09:57,572|'c'|press
1066|2021-11-24 20:09:57,630|'a'|press
1067|2021-11-24 20:09:57,687|'c'|release
1068|2021-11-24 20:09:57,719|'l'|press
1069|2021-11-24 20:09:57,753|'a'|release
1070|2021-11-24 20:09:57,820|'l'|release
1071|2021-11-24 20:09:58,367|Key.space|press
1072|2021-11-24 20:09:58,480|Key.space|release
1073|2021-11-24 20:09:58,500|'c'|press
1074|2021-11-24 20:09:58,614|'c'|release
1075|2021-11-24 20:09:58,641|'u'|press
1076|2021-11-24 20:09:58,745|'u'|release
1077|2021-11-24 20:09:58,819|'n'|press
1078|2021-11-24 20:09:58,897|'n'|release
1079|2021-11-24 20:09:58,949|'n'|press
1080|2021-11-24 20:09:59,067|'n'|release
1081|2021-11-24 20:09:59,072|'i'|press
1082|2021-11-24 20:09:59,136|'n'|press
1083|2021-11-24 20:09:59,189|'i'|release
1084|2021-11-24 20:09:59,231|'n'|release
